question,answer,label
How often should we change our clothes?,Change clothes every day.,avarage
What is a balanced diet?,Eating healthy food.,avarage
Why should we boil drinking water?,To clean the water.,avarage
How often should you brush your teeth?,In the morning and night.,avarage
What can happen if we eat uncovered food from the street?,You can get sick.,avarage
What is body odor and how to prevent it?,Bad smell after sweat.,avarage
Why is sleep important for health?,We need rest to feel fresh.,avarage
What is first aid?,Helping hurt people.,avarage
Why should we wear clean clothes?,Dirty clothes are not good.,avarage
What should we do when we sneeze or cough?,Cover nose or mouth.,avarage
Why should toilets be cleaned regularly?,To keep them clean.,avarage
What is mental hygiene?,Keeping mind healthy.,avarage
What are the signs of good health?,Feeling strong and not sick.,avarage
Why should children be vaccinated?,So they don't get sick.,avarage
How can we protect ourselves from mosquitoes?,Use net or spray.,avarage
What are the effects of junk food on health?,It's not good for body.,avarage
What is malnutrition?,Bad food or no food.,avarage
Name two hygiene habits to follow at school.,Wash hands and clean class.,avarage
How can we stay safe from COVID-19?,Wear mask and clean hands.,avarage
Why is clean drinking water important?,Water should be clean.,avarage
How does pollution affect our health?,Makes us sick.,avarage
What is a communicable disease?,It can spread.,avarage
How do dirty nails affect our health?,They are unhealthy.,avarage
Why should we drink plenty of water?,Water is good for body.,avarage
Why is proper disposal of waste necessary?,To stop garbage.,avarage
What is physical hygiene?,Keeping body clean.,avarage
What are vitamins important for?,For health.,avarage
What are the benefits of eating fruits and vegetables?,Fruits help body.,avarage
How does regular bathing help?,To stay fresh.,avarage
Why is it bad to share personal items like combs or towels?,You can get germs.,avarage
What is the purpose of wearing shoes outdoors?,For foot safety.,avarage
What are microorganisms?,Tiny things we can't see.,poor
Name four types of microorganisms.,Virus and fungi.,poor
Where do microorganisms live?,They live in water and air.,poor
Are all microorganisms harmful?,Some are bad.,poor
Name one disease caused by bacteria.,Cough.,poor
How are viruses different from bacteria?,Viruses are very small.,poor
What are fungi?,Fungi are small things.,poor
What is yeast used for?,Used in food.,poor
Name a microorganism used in making curd.,Germs in milk.,poor
How do microorganisms spread diseases?,They move in water.,poor
What are pathogens?,Bad microbes.,poor
How can we see microorganisms?,We use tools.,poor
What does sterilization do?,It cleans things.,poor
What is vaccination?,It protects us.,poor
Name one harmful effect of microorganisms.,They make us sick.,poor
What is the role of microorganisms in decomposition?,They eat dead things.,poor
How do microorganisms help in agriculture?,Help soil.,poor
What are antibiotics?,Medicines for sick people.,poor
Can microorganisms survive in extreme conditions?,"Yes, they can live anywhere.",poor
How are protozoa different from bacteria?,They are not same.,poor
What is the role of microorganisms in the nitrogen cycle?,They help plants.,poor
What is food poisoning?,It is when food is bad.,poor
Name a disease caused by a virus.,Cold is from virus.,poor
What is fermentation?,It changes food.,poor
How do vaccines work?,They make body strong.,poor
What are algae?,Green things in water.,poor
Name one protozoan that causes disease.,Germ that makes malaria.,poor
What are the benefits of microorganisms in food production?,Help make food.,poor
What safety rules should be followed in labs handling microorganisms?,Be careful.,poor
How do microorganisms affect plants?,"Some help, some hurt.",poor
What is penicillin?,A medicine.,poor
How can we preserve food from microorganisms?,Keep food safe.,poor
Name a microorganism that helps in making alcohol.,Germ for alcohol.,poor
What are extremophiles?,Strong germs.,poor
What is pasteurization?,Heat food.,poor
What are decomposers?,Break things.,poor
Why is handwashing important?,It keeps us clean.,poor
How can contaminated water harm us?,Bad water is bad.,poor
How do fungi reproduce?,They grow fast.,poor
Can viruses grow on their own?,"No, they can't.",poor
Name a disease caused by protozoa.,Malaria is by germ.,poor
How can microorganisms be harmful in agriculture?,They harm crops.,poor
What is the shape of bacteria?,Bacteria are tiny.,poor
Why are viruses not considered true living organisms?,They are half alive.,poor
What is the importance of microorganisms in sewage treatment?,Clean the dirty water.,poor
Can microorganisms be used to clean oil spills?,Some germs eat oil.,poor
How are diseases spread by contact?,By touching.,poor
What is an epidemic?,A big disease.,poor
Why should milk be boiled?,To make it safe.,poor
How do microorganisms spoil food?,They make food bad.,poor
Can microorganisms grow in the fridge?,"Yes, they are strong.",poor
What is a microbe culture?,Microbes in lab.,poor
What is a carrier of a disease?,Someone who has germs.,poor
What are saprophytes?,Eat dead things.,poor
How are mushrooms different from bacteria?,Mushrooms are big.,poor
Why are fungi important in medicine?,Help in medicine.,poor
What is a host in terms of viruses?,Body of person.,poor
What are protozoa?,Tiny animals.,poor
Can microorganisms produce oxygen?,Some give air.,poor
Why are microbial infections dangerous?,Make us very sick.,poor
What is mold?,Black thing on bread.,poor
What is an outbreak?,Many people sick.,poor
What happens if antibiotics are overused?,Medicine stops working.,poor
How does hand sanitizer help?,It kills germs.,poor
Why are microorganisms used in research?,To learn about germs.,poor
What are airborne diseases?,Germs in air.,poor
What is an immune response?,Body fights germs.,poor
What is an incubation period?,Time before illness.,poor
How are viruses named?,From place or disease.,poor
Why are lab coats important in microbiology labs?,To stay clean.,poor
What is the basic unit of the human body?,Tissue.,poor
How many systems are there in the human body?,There are many systems.,poor
What system controls the body's responses?,Brain system.,poor
What organ is responsible for pumping blood?,Chest organ.,poor
What is the function of the lungs?,Helps in breathing.,poor
What organ helps us think?,Mind.,poor
Which system helps break down food?,Food system.,poor
What do bones do for the body?,Help the body stand.,poor
What is the largest organ in the human body?,Outer body layer.,poor
Which system removes waste from the body?,Urine system.,poor
What system helps us move?,Moving system.,poor
How many bones are in the adult human body?,Around 200 bones.,poor
Where is the heart located?,Inside the chest.,poor
What do red blood cells carry?,Blood.,poor
Which organ filters blood?,Liver.,poor
What connects muscles to bones?,Muscles.,poor
What protects the brain?,Bone.,poor
What is the function of the skin?,Covers the body.,poor
What organ stores urine?,Kidney.,poor
Which system helps in reproduction?,Private part system.,poor
Which gas do we breathe in?,Air.,poor
What helps blood to clot?,Blood cells.,poor
Which organ produces insulin?,Liver.,poor
What is the function of the liver?,Clean blood.,poor
What organ helps in hearing?,Head.,poor
Which body part helps us see?,Head.,poor
What connects the mouth to the stomach?,Food pipe.,poor
Which system includes the heart and blood vessels?,Blood system.,poor
What is the function of white blood cells?,Clean the blood.,poor
Which system includes brain and spinal cord?,Brain system.,poor
What type of muscle is the heart made of?,Strong muscle.,poor
What system controls body movements?,Brain control system.,poor
Main organ of the circulatory system?,Chest organ.,poor
What helps us smell?,Face.,poor
Which organ helps balance the body?,Legs.,poor
What do nerves carry?,Body signals.,poor
What are joints?,Where bones connect.,poor
What is the function of the brain?,Think.,poor
Which system helps you breathe?,Lungs system.,poor
Where is the stomach located?,Below the chest.,poor
Organ that absorbs nutrients?,Intestine.,poor
Function of the skeleton?,Help the body stand.,poor
What carries blood back to the heart?,Blood vessels.,poor
Organ that filters toxins?,Kidney.,poor
Function of sweat glands?,Release water.,poor
Outermost layer of skin?,Skin.,poor
Brain part controlling balance?,Brain.,poor
Which system defends against disease?,White blood system.,poor
